Column 1,Score = 81,Evidence,Observations
"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",No,,
,,,
Q8 - Your software's portability,,,
"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,,Runs both Windows and MacOS
,,,
Q9 - Your software and accessibility,,,
Does your software adhere to appropriate accessibility conventions or standards?,Yes,,
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,,
,,,
Q10 - How you manage your source code,,,
Is your source code stored in a repository under revision control?,Yes,,
Is each source code release a snapshot of the repository?,Yes,,
Are releases tagged in the repository?,Yes,,Release tags have version specified
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,,Master is the stable build
Do you back-up your repository?,Yes,,
,,,
Q11 - Building and installing your software,,,
Do you provide publicly-available instructions for building your software from the source code?,Yes,,
"Can you build, or package, your software using an automated tool? e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,,Travis is being used for CI
Do you provide publicly-available instructions for deploying your software?,Yes,,
Does your documentation list all third-party dependencies?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/requirements.txt,
Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/requirements.txt,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or",No,,
"Can you download dependencies using a dependency management tool or package manager? e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,,Can be done using pip
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,,
,,,
Q12 - How you test your software,,,
Do you have an automated test suite for your software?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/.travis.yml,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,,
Are your test results publicly visible?,No,,
Are all manually-run tests documented?,No,,
,,,
Q13 - How you engage with your community,,,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? e.g. release announcements, publications, workshops, conference presentatio",Yes,https://github.com/pnprathima/Recipe_Recommender#release-made-in-this-cycle-,
Does your website state how many projects and users are associated with your project?,Yes,https://github.com/users/pnprathima/projects/3,
Do you provide success stories on your website?,No,,
Do you list your important partners and collaborators on your website?,Yes,https://github.com/pnprathima/Recipe_Recommender#team-members,
Do you list your project's publications on your website or link to a resource where these are available?,Yes,https://zenodo.org/records/10023535,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,,
Can users subscribe to notifications to changes to your source code repository?,Yes,,Git lets you subscribe to a pull request
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/CODE_OF_CONDUCT.md,
,,,
Q14 - How you manage contributions,,,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,,
Do you have a contributions policy?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/CONTRIBUTING.md,
Is your contributions' policy publicly available?,Yes,,
Do contributors keep the copyright/IP of their contributions?,No,https://github.com/pnprathima/Recipe_Recommender/blob/master/LICENSE,License mentions that the copyright belongs to creator
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/LICENSE,
Does each of your source code files include a copyright statement?,yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/Code/frontend/src/components/SearchByRecipe.js,We have added it to the files modified in proj3
,,,
Q15 - Your software's copyright and licensing,,,
Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/LICENSE,
Is your software released under an open source licence?,Yes,,MIT License
Is your software released under an OSI-approved open-source licence?,Yes,,
Does each of your source code files include a licence header?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/Code/frontend/src/components/SearchByRecipe.js,We have added it to the files modified in proj3
Do you have a recommended citation for your software?,Yes,https://github.com/pnprathima/Recipe_Recommender/blob/master/CITATION.md,
,,,
Q16 - Your plans for the future,,,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,https://github.com/pnprathima/Recipe_Recommender#future-scope,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,,
